Genotype,Spores,Sample,Replicate,Time,Abs,Prop_inf
Control,0,1,1,0,na,na
Control,0,1,2,0,na,na
Control,0,2,1,0,na,na
Control,0,2,2,0,na,na
Control,0,3,1,0,1.3883,0
Control,0,3,2,0,1.213,0
Control,0,1,1,1,0.2467,0
Control,0,1,2,1,0.2524,0
Control,0,2,1,1,na,na
Control,0,2,2,1,na,na
Control,0,3,1,1,na,na
Control,0,3,2,1,na,na
Control,0,1,1,2,0.2669,0
Control,0,1,2,2,0.2575,0
Control,0,2,1,2,na,na
Control,0,2,2,2,na,na
Control,0,3,1,2,na,na
Control,0,3,2,2,na,na
Control,0,1,1,3,0.2854,0
Control,0,1,2,3,0.289,0
Control,0,2,1,3,na,na
Control,0,2,2,3,na,na
Control,0,3,1,3,na,na
Control,0,3,2,3,na,na
Control,0,1,1,4,0.3037,0
Control,0,1,2,4,0.307,0
Control,0,2,1,4,na,na
Control,0,2,2,4,na,na
Control,0,3,1,4,na,na
Control,0,3,2,4,na,na
Control,0,1,1,4.5,0.3112,0
Control,0,1,2,4.5,0.3161,0
Control,0,2,1,4.5,na,na
Control,0,2,2,4.5,na,na
Control,0,3,1,4.5,na,na
Control,0,3,2,4.5,na,na
Standard,0,1,1,0,1.7505,0
Standard,0,1,2,0,1.426,0
Standard,0,2,1,0,1.5471,0
Standard,0,2,2,0,1.4036,0
Standard,0,3,1,0,1.2199,0
Standard,0,3,2,0,1.4897,0
Standard,0,1,1,1,0.2696,0
Standard,0,1,2,1,0.2647,0
Standard,0,2,1,1,0.2561,0
Standard,0,2,2,1,0.2618,0
Standard,0,3,1,1,0.2534,0
Standard,0,3,2,1,0.2428,0
Standard,0,1,1,2,0.2898,0
Standard,0,1,2,2,0.2834,0
Standard,0,2,1,2,0.2711,0
Standard,0,2,2,2,0.273,0
Standard,0,3,1,2,0.2702,0
Standard,0,3,2,2,0.2567,0
Standard,0,1,1,3,0.3073,0
Standard,0,1,2,3,0.301,0
Standard,0,2,1,3,0.2879,0
Standard,0,2,2,3,0.2857,0
Standard,0,3,1,3,0.2865,0
Standard,0,3,2,3,0.2731,0
Standard,0,1,1,4,0.3235,0
Standard,0,1,2,4,0.319,0
Standard,0,2,1,4,0.3034,0
Standard,0,2,2,4,0.2987,0
Standard,0,3,1,4,0.3012,0
Standard,0,3,2,4,0.287,0
Standard,0,1,1,4.5,0.3277,0
Standard,0,1,2,4.5,0.3264,0
Standard,0,2,1,4.5,0.3116,0
Standard,0,2,2,4.5,0.3277,0
Standard,0,3,1,4.5,0.3264,0
Standard,0,3,2,4.5,0.3116,0
Standard,150,1,1,0,0.7907,1
Standard,150,1,2,0,0.274,1
Standard,150,2,1,0,0.6373,1
Standard,150,2,2,0,0.2564,1
Standard,150,3,1,0,0.6825,0.833
Standard,150,3,2,0,0.2657,0.833
Standard,150,1,1,1,0.2433,1
Standard,150,1,2,1,0.2665,1
Standard,150,2,1,1,0.2405,1
Standard,150,2,2,1,0.244,1
Standard,150,3,1,1,0.2658,0.833
Standard,150,3,2,1,0.2511,0.833
Standard,150,1,1,2,0.2576,1
Standard,150,1,2,2,0.2808,1
Standard,150,2,1,2,0.2556,1
Standard,150,2,2,2,0.2577,1
Standard,150,3,1,2,0.2823,0.833
Standard,150,3,2,2,0.2626,0.833
Standard,150,1,1,3,0.2734,1
Standard,150,1,2,3,0.2993,1
Standard,150,2,1,3,0.2698,1
Standard,150,2,2,3,0.2737,1
Standard,150,3,1,3,0.2987,0.833
Standard,150,3,2,3,0.2803,0.833
Standard,150,1,1,4,0.2862,1
Standard,150,1,2,4,0.3173,1
Standard,150,2,1,4,0.2833,1
Standard,150,2,2,4,0.2907,1
Standard,150,3,1,4,0.315,0.833
Standard,150,3,2,4,0.3028,0.833
Standard,150,1,1,4.5,0.2919,1
Standard,150,1,2,4.5,0.3238,1
Standard,150,2,1,4.5,0.2899,1
Standard,150,2,2,4.5,0.2969,1
Standard,150,3,1,4.5,0.3229,0.833
Standard,150,3,2,4.5,0.3173,0.833
Standard,300,1,1,0,1.1615,1
Standard,300,1,2,0,1.0429,1
Standard,300,2,1,0,1.1177,1
Standard,300,2,2,0,1.0408,1
Standard,300,3,1,0,1.1531,0.8
Standard,300,3,2,0,0.3175,0.8
Standard,300,1,1,1,0.233,1
Standard,300,1,2,1,0.2541,1
Standard,300,2,1,1,0.2425,1
Standard,300,2,2,1,0.2306,1
Standard,300,3,1,1,0.2277,0.8
Standard,300,3,2,1,0.3067,0.8
Standard,300,1,1,2,0.2449,1
Standard,300,1,2,2,0.2706,1
Standard,300,2,1,2,0.2572,1
Standard,300,2,2,2,0.2406,1
Standard,300,3,1,2,0.2458,0.8
Standard,300,3,2,2,0.3262,0.8
Standard,300,1,1,3,0.2581,1
Standard,300,1,2,3,0.2845,1
Standard,300,2,1,3,0.2723,1
Standard,300,2,2,3,0.2534,1
Standard,300,3,1,3,0.2632,0.8
Standard,300,3,2,3,0.3462,0.8
Standard,300,1,1,4,0.2689,1
Standard,300,1,2,4,0.2992,1
Standard,300,2,1,4,0.2846,1
Standard,300,2,2,4,0.2742,1
Standard,300,3,1,4,0.2805,0.8
Standard,300,3,2,4,0.3684,0.8
Standard,300,1,1,4.5,0.2761,1
Standard,300,1,2,4.5,0.3066,1
Standard,300,2,1,4.5,0.2909,1
Standard,300,2,2,4.5,0.2815,1
Standard,300,3,1,4.5,0.2898,0.8
Standard,300,3,2,4.5,0.3802,0.8
Mid281,0,1,1,0,1.3571,0
Mid281,0,1,2,0,1.1218,0
Mid281,0,2,1,0,1.2948,0
Mid281,0,2,2,0,1.0547,0
Mid281,0,3,1,0,1.2267,0
Mid281,0,3,2,0,1.2635,0
Mid281,0,1,1,1,0.2632,0
Mid281,0,1,2,1,0.2602,0
Mid281,0,2,1,1,0.2636,0
Mid281,0,2,2,1,0.2544,0
Mid281,0,3,1,1,0.2605,0
Mid281,0,3,2,1,0.2613,0
Mid281,0,1,1,2,0.2826,0
Mid281,0,1,2,2,0.2756,0
Mid281,0,2,1,2,0.273,0
Mid281,0,2,2,2,0.2688,0
Mid281,0,3,1,2,0.2779,0
Mid281,0,3,2,2,0.2749,0
